DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,45,$39374.26,$10631.37,$9575.73
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,62,$21074.51,$6151.14,$5298.19
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,107,$27320.15,$6477.68,$5257.93
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,48,$52736.77,$9179.56,$8165.97
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,23,$28934.26,$6225.65,$5350.86
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,450615,ATLANTA MEMORIAL HOSPITAL,1007 SOUTH WILLIAMS STREET,ATLANTA,TX,75551,AR - Texarkana,11,$11189.90,$6653.18,$6141.54
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,45,$21602.75,$7145.77,$4921.86
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,15,$19826.26,$7345.66,$3754.66
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,37,$27522.62,$7597.89,$6595.18
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,32,$18740.09,$4567.28,$3154.46
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,29,$24941.93,$4477.13,$3331.72
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,26,$35429.53,$6524.57,$5458.73
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,14,$29290.42,$4845.57,$3259.07
069 - TRANSIENT ISCHEMIA,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,15,$29028.86,$12312.80,$4290.93
069 - TRANSIENT ISCHEMIA,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,23,$21519.21,$5164.30,$4268.21
069 - TRANSIENT ISCHEMIA,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,14,$26817.64,$6764.64,$5639.50
069 - TRANSIENT ISCHEMIA,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,21,$18637.80,$3972.33,$3011.19
069 - TRANSIENT ISCHEMIA,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,53,$22634.01,$4605.45,$2926.13
069 - TRANSIENT ISCHEMIA,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,19,$30704.78,$6781.89,$4587.68
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,11,$35759.54,$7126.09,$5668.36
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,20,$16469.30,$6870.50,$5000.50
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,11,$19880.36,$4933.36,$3336.45
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,27,$18882.03,$5280.03,$3595.33
101 - SEIZURES W/O MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,68,$17603.92,$5911.14,$4822.67
101 - SEIZURES W/O MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,26,$17779.92,$5331.23,$4512.61
101 - SEIZURES W/O MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,46,$22624.36,$7021.32,$6143.06
101 - SEIZURES W/O MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,12,$23507.83,$4146.83,$3114.50
101 - SEIZURES W/O MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,23,$24658.82,$4303.00,$3474.65
101 - SEIZURES W/O MCC,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,22,$31424.77,$6013.86,$5092.04
149 - DYSEQUILIBRIUM,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,12,$12434.50,$5904.25,$4777.58
149 - DYSEQUILIBRIUM,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,19,$20038.94,$3752.84,$2245.63
176 - PULMONARY EMBOLISM W/O MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,34,$16979.94,$7622.02,$6939.23
176 - PULMONARY EMBOLISM W/O MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,23,$21625.95,$7307.78,$6478.04
176 - PULMONARY EMBOLISM W/O MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,19,$22601.89,$9777.84,$8899.31
176 - PULMONARY EMBOLISM W/O MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,24,$20115.75,$5747.66,$4856.83
176 - PULMONARY EMBOLISM W/O MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,20,$21787.05,$5909.05,$4893.65
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,44,$42897.22,$18287.11,$12901.65
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,16,$29355.06,$13957.68,$12317.56
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,45,$46841.33,$11566.02,$10700.51
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,49,$54698.67,$13376.06,$12837.10
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,35,$69018.08,$14208.08,$13277.91
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,35,$22839.00,$11451.77,$8583.28
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,20,$18343.70,$9712.20,$9039.40
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,53,$27049.56,$7823.13,$7071.69
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,24,$31638.62,$8543.58,$6455.00
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,16,$50446.18,$11245.62,$7691.62
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,110203,WESLEY WOODS GERIATRIC HOSPITAL,"1821 CLIFTON ROAD, NE",ATLANTA,GA,30329,GA - Atlanta,11,$27863.81,$8458.00,$8049.27
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,29,$33075.27,$10609.37,$9628.41
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,34,$28460.76,$8968.79,$8207.73
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,11,$24431.27,$11847.54,$11333.00
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,17,$30126.64,$7149.17,$6551.76
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,49,$28971.77,$8236.20,$6903.44
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,17,$49161.70,$10244.00,$9715.05
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,21,$19866.23,$8976.52,$8066.23
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,35,$25156.08,$8657.62,$7949.71
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,47,$26584.59,$10897.76,$10182.70
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,66,$29216.21,$6632.19,$5574.21
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,47,$25412.38,$6810.78,$5750.65
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,20,$44016.80,$9218.15,$8433.75
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,16,$31671.87,$7058.12,$6144.37
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,450615,ATLANTA MEMORIAL HOSPITAL,1007 SOUTH WILLIAMS STREET,ATLANTA,TX,75551,AR - Texarkana,12,$17268.41,$7169.58,$5898.75
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,40,$17926.70,$7481.65,$6341.00
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,45,$14632.51,$6543.13,$5807.44
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,70,$20546.35,$8996.11,$8160.68
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,84,$23304.26,$5346.02,$4693.67
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,50,$21872.62,$6274.88,$4380.20
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,16,$32941.87,$5900.75,$4846.43
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,110203,WESLEY WOODS GERIATRIC HOSPITAL,"1821 CLIFTON ROAD, NE",ATLANTA,GA,30329,GA - Atlanta,12,$18587.50,$6667.33,$5920.66
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,28,$12881.75,$5023.96,$4057.64
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,58,$14827.44,$6567.68,$5754.03
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,53,$18202.45,$3924.62,$3183.11
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,13,$13499.61,$4176.53,$3090.76
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,11,$25670.18,$5924.63,$4348.27
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,11,$18811.36,$3948.18,$3059.36
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,450615,ATLANTA MEMORIAL HOSPITAL,1007 SOUTH WILLIAMS STREET,ATLANTA,TX,75551,AR - Texarkana,20,$12949.25,$4503.60,$3670.60
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,50,$28326.96,$12056.90,$10114.16
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,63,$26711.44,$10226.30,$9437.31
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,15,$40792.73,$13745.33,$13221.33
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,50,$43706.58,$9191.62,$8536.96
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,90,$38748.75,$8973.81,$7589.43
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,25,$46232.00,$11368.68,$10343.68
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,28,$52033.00,$10285.96,$8881.46
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,110203,WESLEY WOODS GERIATRIC HOSPITAL,"1821 CLIFTON ROAD, NE",ATLANTA,GA,30329,GA - Atlanta,14,$18545.64,$8215.78,$7254.64
194 - SIMPLE PNEUMONIA & PLEURISY W CC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,58,$17604.67,$8954.36,$6349.60
194 - SIMPLE PNEUMONIA & PLEURISY W CC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,60,$17826.10,$7420.58,$6272.51
194 - SIMPLE PNEUMONIA & PLEURISY W CC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,51,$19164.58,$9334.86,$8296.07
194 - SIMPLE PNEUMONIA & PLEURISY W CC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,88,$21353.15,$5412.40,$4438.48
194 - SIMPLE PNEUMONIA & PLEURISY W CC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,80,$20748.83,$5807.43,$4618.11
194 - SIMPLE PNEUMONIA & PLEURISY W CC,110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,ATLANTA,GA,30312,GA - Atlanta,22,$41111.81,$8119.00,$7403.00
194 - SIMPLE PNEUMONIA & PLEURISY W CC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,45,$30254.00,$6028.37,$4922.17
194 - SIMPLE PNEUMONIA & PLEURISY W CC,110203,WESLEY WOODS GERIATRIC HOSPITAL,"1821 CLIFTON ROAD, NE",ATLANTA,GA,30329,GA - Atlanta,27,$15805.81,$5991.37,$4815.22
194 - SIMPLE PNEUMONIA & PLEURISY W CC,450615,ATLANTA MEMORIAL HOSPITAL,1007 SOUTH WILLIAMS STREET,ATLANTA,TX,75551,AR - Texarkana,43,$15326.20,$6148.86,$5467.37
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,16,$7864.93,$4946.93,$3641.06
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,14,$13907.00,$6582.28,$5695.14
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,41,$14799.85,$3794.70,$2833.82
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,16,$17042.50,$4427.31,$2745.56
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,110203,WESLEY WOODS GERIATRIC HOSPITAL,"1821 CLIFTON ROAD, NE",ATLANTA,GA,30329,GA - Atlanta,13,$12554.76,$4209.38,$3433.07
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,450615,ATLANTA MEMORIAL HOSPITAL,1007 SOUTH WILLIAMS STREET,ATLANTA,TX,75551,AR - Texarkana,35,$11390.31,$4387.51,$3308.80
202 - BRONCHITIS & ASTHMA W CC/MCC,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,GA - Atlanta,20,$18530.65,$6713.15,$5577.50
202 - BRONCHITIS & ASTHMA W CC/MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,ATLANTA,GA,30308,GA - Atlanta,33,$13900.63,$7102.36,$4791.63
202 - BRONCHITIS & ASTHMA W CC/MCC,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,GA - Atlanta,19,$16501.57,$7806.26,$7271.73
202 - BRONCHITIS & ASTHMA W CC/MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,42,$16610.54,$4585.21,$3716.88
